Frequency[microHertz], PSD [ppm^2 per microHertz]
1090.0,0.0001799806524203907
1090.4000400040004,0.00017713843323012357
1090.8000800080008,0.00017439773318899415
1091.2001200120012,0.00017175427316826327
1091.6001600160016,0.00016920400888956682
1092.000200020002,0.00016674311585227638
1092.4002400240024,0.0001643679753862282
1092.8002800280028,0.00016207516173498787
1093.2003200320032,0.00015986143008372392
1093.6003600360036,0.000157723705453756
1094.000400040004,0.00015565907239301283
1094.4004400440044,0.00015366476539807941
1094.8004800480048,0.00015173816000932182
1095.2005200520052,0.0001498767645257921
1095.6005600560056,0.00014807821229133713
1096.000600060006,0.00014634025450758621
1096.4006400640064,0.00014466075353333587
1096.8006800680068,0.00014303767663332917
1097.2007200720072,0.00014146909014257716
1097.6007600760076,0.0001399531540152241
1098.000800080008,0.0001384881167295483
1098.4008400840085,0.00013707231052304054
1098.8008800880089,0.00013570414693364678
1099.2009200920093,0.00013438211262520005
1099.6009600960097,0.00013310476547684195
1100.00100010001,0.0001318707309178501
1100.4010401040105,0.00013067869849075746
1100.8010801080109,0.00012952741862699924
1101.2011201120113,0.00012841569962054923
1101.6011601160117,0.00012734240478613095
1102.001200120012,0.00012630644978962343
1102.4012401240125,0.00012530680013921698
1102.8012801280129,0.00012434246882674468
1103.2013201320133,0.00012341251410940516
1103.6013601360137,0.00012251603742282187
1104.001400140014,0.0001216521814170528
1104.4014401440145,0.00012082012810778068
1104.801480148015,0.000120019097135479
1105.2015201520153,0.0001192483441258747
1105.6015601560157,0.0001185071591455028
1106.001600160016,0.00011779486524659999
1106.4016401640165,0.00011711081709598813
1106.801680168017,0.00011645439968297903
1107.2017201720173,0.00011582502710168295
1107.6017601760177,0.00011522214140342634
1108.001800180018,0.00011464521151528274
1108.4018401840185,0.0001140937322210024
1108.801880188019,0.00011356722320088143
1109.2019201920193,0.00011306522812735006
1109.6019601960195,0.00011258731381328573
1110.00200020002,0.0001121330694102584
1110.4020402040203,0.00011170210565411464
1110.8020802080207,0.00011129405415547772
1111.202120212021,0.00011090856673291945
1111.6021602160215,0.00011054531478670242
1112.002200220022,0.00011020398871115047
1112.4022402240223,0.00010988429734383236
1112.8022802280227,0.0001095859674498743
1113.202320232023,0.00010930874323984058
1113.6023602360235,0.00010905238591972566
1114.002400240024,0.00010881667327171802
1114.4024402440243,0.0001086013992644849
1114.8024802480247,0.00010840637369182949
1115.2025202520251,0.00010823142183865582
1115.6025602560255,0.00010807638417326267
1116.002600260026,0.00010794111606506805
1116.4026402640263,0.00010782548752694002
1116.8026802680267,0.00010772938298138261
1117.2027202720271,0.00010765270104989405
1117.6027602760275,0.00010759535436488226
1118.002800280028,0.0001075572694035809
1118.4028402840283,0.00010753838634347632
1118.8028802880287,0.00010753865893881046
1119.2029202920291,0.00010755805441777977
1119.6029602960296,0.00010759655340011201
1120.00300030003,0.0001076541498347481
1120.4030403040304,0.00010773085095741573
1120.8030803080308,0.00010782667726792687
1121.2031203120312,0.00010794166252708815
1121.6031603160316,0.00010807585377315533
1122.003200320032,0.00010822931135782172
1122.4032403240324,0.00010840210900177154
1122.8032803280328,0.00010859433386988386
1123.2033203320332,0.00010880608666621948
1123.6033603360336,0.00010903748174897591
1124.003400340034,0.00010928864726564176
1124.4034403440344,0.00010955972530863719
1124.8034803480348,0.0001098508720917777
1125.2035203520352,0.0001101622581479499
1125.6035603560356,0.00011049406854844656
1126.003600360036,0.00011084650314446015
1126.4036403640364,0.00011121977683129618
1126.8036803680368,0.00011161411983592358
1127.2037203720372,0.0001120297780285455
1127.6037603760376,0.00011246701325893619
1128.003800380038,0.0001129261037183581
1128.4038403840384,0.00011340734432794418
1128.8038803880388,0.00011391104715450482
1129.2039203920392,0.00011443754185479499
1129.6039603960396,0.00011498717614936163
1130.00400040004,0.00011556031632717516
1130.4040404040404,0.00011615734778234045
1130.8040804080408,0.0001167786755842816
1131.2041204120412,0.00011742472508289113
1131.6041604160416,0.00011809594255024936
1132.004200420042,0.00011879279586062631
1132.4042404240424,0.0001195157752106091
1132.8042804280428,0.00012026539388131878
1133.2043204320432,0.00012104218904482588
1133.6043604360436,0.00012184672261701588
1134.004400440044,0.00012267958215931638
1134.4044404440444,0.0001235413818318635
1134.8044804480448,0.00012443276340086577
1135.2045204520452,0.0001253543973031141
1135.6045604560456,0.00012630698377079407
1136.004600460046,0.00012729125401997633
1136.4046404640465,0.00012830797150639427
1136.8046804680469,0.00012935793325237902
1137.2047204720473,0.00013044197124908465
1137.6047604760477,0.0001315609539384386
1138.004800480048,0.0001327157877795592
1138.4048404840485,0.0001339074189047289
1138.8048804880489,0.00013513683487036834
1139.2049204920493,0.0001364050665088614
1139.6049604960497,0.00013771318988749063
1140.00500050005,0.00013906232838121801
1140.4050405040505,0.0001404536548665259
1140.8050805080509,0.00014188839404407721
1141.2051205120513,0.0001433678248985276
1141.6051605160517,0.0001448932833044517
1142.005200520052,0.0001464661647880186
1142.4052405240525,0.0001480879274547942
1142.805280528053,0.00014976009509483305
1143.2053205320533,0.00015148426047710054
1143.6053605360537,0.0001532620888461931
1144.005400540054,0.0001550953216353521
1144.4054405440545,0.00015698578041087213
1144.805480548055,0.00015893537106421567
1145.2055205520553,0.0001609460882694567
1145.6055605560557,0.00016302002022511398
1146.005600560056,0.00016515935370099385
1146.4056405640565,0.00016736637941237325
1146.8056805680567,0.0001696434977457117
1147.205720572057,0.00017199322486213464
1147.6057605760575,0.00017441819920712798
1148.005800580058,0.00017692118845737505
1148.4058405840583,0.00017950509693829845
1148.8058805880587,0.00018217297354883235
